event_id	PERMNO	EventDate	CalenderDate	EventTime	Ri	Rm
147	43721	14MAR2011	20DEC2010	-57	-0.004646944	0.00231
147	43721	14MAR2011	21DEC2010	-56	0.000366175	0.00681
147	43721	14MAR2011	22DEC2010	-55	0.005490469	0.00291
147	43721	14MAR2011	23DEC2010	-54	-0.01483434	-0.00159
147	43721	14MAR2011	27DEC2010	-53	0.002494195	0.00081
147	43721	14MAR2011	28DEC2010	-52	-0.005068148	1E-05
147	43721	14MAR2011	29DEC2010	-51	-0.001389289	0.00171
147	43721	14MAR2011	30DEC2010	-50	-0.001669452	-0.00109
147	43721	14MAR2011	31DEC2010	-49	-0.007060592	-0.00099
147	43721	14MAR2011	03JAN2011	-48	-0.002619749	0.0118
147	43721	14MAR2011	04JAN2011	-47	-0.012851737	-0.0026
147	43721	14MAR2011	05JAN2011	-46	-0.015965031	0.0059
147	43721	14MAR2011	06JAN2011	-45	-0.013423461	-0.0015
147	43721	14MAR2011	07JAN2011	-44	0.010963147	-0.0021
147	43721	14MAR2011	10JAN2011	-43	0.001258762	-0.0002
147	43721	14MAR2011	11JAN2011	-42	0.004158134	0.0039
147	43721	14MAR2011	12JAN2011	-41	0.008089406	0.0087
147	43721	14MAR2011	13JAN2011	-40	0.005158587	-0.0017
147	43721	14MAR2011	14JAN2011	-39	0.010739377	0.0069
147	43721	14MAR2011	18JAN2011	-38	-0.01194167	0.0018
147	43721	14MAR2011	19JAN2011	-37	-0.000190372	-0.0124
147	43721	14MAR2011	20JAN2011	-36	-0.013611273	-0.003
147	43721	14MAR2011	21JAN2011	-35	-0.008202244	0.0011
147	43721	14MAR2011	24JAN2011	-34	0.002918886	0.0065
147	43721	14MAR2011	25JAN2011	-33	0.042491242	0.0002
147	43721	14MAR2011	26JAN2011	-32	0.011539158	0.006
147	43721	14MAR2011	27JAN2011	-31	-0.004231822	0.0026
147	43721	14MAR2011	28JAN2011	-30	-0.023558717	-0.0188
147	43721	14MAR2011	31JAN2011	-29	0.016747059	0.0071
147	43721	14MAR2011	01FEB2011	-28	0.021310264	0.01751
147	43721	14MAR2011	02FEB2011	-27	0.014851911	-0.00259
147	43721	14MAR2011	03FEB2011	-26	0.009696551	0.00261
147	43721	14MAR2011	04FEB2011	-25	-0.010314743	0.00291
147	43721	14MAR2011	07FEB2011	-24	0.006289281	0.007010001
147	43721	14MAR2011	08FEB2011	-23	0.010446407	0.00481
147	43721	14MAR2011	09FEB2011	-22	-0.003723058	-0.00309
147	43721	14MAR2011	10FEB2011	-21	-0.000088995	0.00121
147	43721	14MAR2011	11FEB2011	-20	-0.001601711	0.00671
147	43721	14MAR2011	14FEB2011	-19	0.010338713	0.00301
147	43721	14MAR2011	15FEB2011	-18	-0.005204692	-0.00379
147	43721	14MAR2011	16FEB2011	-17	0.004611194	0.00681
147	43721	14MAR2011	17FEB2011	-16	0.011474935	0.00371
147	43721	14MAR2011	18FEB2011	-15	-0.006108709	0.00121
147	43721	14MAR2011	22FEB2011	-14	-0.039863035	-0.02189
147	43721	14MAR2011	23FEB2011	-13	-0.019295845	-0.00779
147	43721	14MAR2011	24FEB2011	-12	-0.013800781	0.00041
147	43721	14MAR2011	25FEB2011	-11	0.025624046	0.01221
147	43721	14MAR2011	28FEB2011	-10	0.00368767	0.00421
147	43721	14MAR2011	01MAR2011	-9	-0.03325069	-0.0158
147	43721	14MAR2011	02MAR2011	-8	0.00380049	0.0028
147	43721	14MAR2011	03MAR2011	-7	0.021107389	0.0176
147	43721	14MAR2011	04MAR2011	-6	-0.002688181	-0.0067
147	43721	14MAR2011	07MAR2011	-5	-0.022399815	-0.0096
147	43721	14MAR2011	08MAR2011	-4	0.008461679	0.0097
147	43721	14MAR2011	09MAR2011	-3	0.004619571	-0.0017
147	43721	14MAR2011	10MAR2011	-2	-0.013982713	-0.0193
147	43721	14MAR2011	11MAR2011	-1	0.003521488	0.0069
147	43721	14MAR2011	14MAR2011	0	0.277314007	-0.0059
147	43721	14MAR2011	15MAR2011	1	-0.006756671	-0.0105
147	43721	14MAR2011	16MAR2011	2	0.001195996	-0.0177
147	43721	14MAR2011	17MAR2011	3	0.000746704	0.0112
147	43721	14MAR2011	18MAR2011	4	-0.002089076	0.0049
147	43721	14MAR2011	21MAR2011	5	0.001794434	0.0158
